date,open,high,low,close,volume,average,barCount
2024-03-28,444.79,445.64,443.65,444.01,24843699.0,444.561,139414
2024-04-01,444.97,447.53,443.02,444.95,30039599.0,444.976,167634
2024-04-02,440.08,441.43,438.03,441.11,31041830.0,439.698,180893
2024-04-03,438.96,444.0,438.95,442.1,27656511.0,442.278,159360
2024-04-04,446.33,446.95,435.11,435.34,41773243.0,441.47,255980
2024-04-05,436.78,443.17,435.96,440.47,39494228.0,440.3,238540
2024-04-08,441.42,442.5,439.2,440.6,20724002.0,440.888,107415
2024-04-09,442.94,443.24,437.44,442.23,30027175.0,440.314,163788
2024-04-10,437.0,439.24,436.28,438.37,42074332.0,437.719,254444
2024-04-11,440.25,446.33,437.96,445.37,31395828.0,442.565,167908
2024-04-12,441.1,442.24,436.88,438.27,37831656.0,439.051,217545
2024-04-15,442.06,442.15,430.21,431.06,45836920.0,434.849,256945
2024-04-16,430.89,433.76,429.7,431.1,34678099.0,431.458,206121
2024-04-17,433.1,433.12,424.9,425.84,39781365.0,427.986,222180
2024-04-18,426.48,428.24,422.83,423.41,32177826.0,425.067,178118
2024-04-19,422.22,422.75,413.07,414.65,50545214.0,417.087,285122
2024-04-22,417.31,421.18,413.94,418.82,30924987.0,417.688,165970
2024-04-23,420.76,426.28,420.42,425.07,29428925.0,424.168,162071
2024-04-24,428.2,429.73,424.2,426.51,31457258.0,426.831,175516
2024-04-25,419.24,425.32,418.14,424.45,38276053.0,421.559,219083
2024-04-26,427.62,432.55,426.92,431.0,29347633.0,430.594,155669
2024-04-29,433.12,433.76,429.98,432.75,22062073.0,432.104,122511
2024-04-30,431.15,432.56,424.51,424.59,27354601.0,428.406,149640
2024-05-01,423.15,430.14,420.66,421.52,37984290.0,424.168,234475
2024-05-02,425.29,427.81,420.63,426.9,24854069.0,424.837,138768
2024-05-03,434.44,436.48,432.62,435.48,30320575.0,434.783,175422
2024-05-06,437.3,440.34,436.52,440.25,21815418.0,438.393,121531
2024-05-07,440.7,441.97,439.58,440.32,20443255.0,440.825,111756
2024-05-08,437.66,441.48,437.55,440.06,17951847.0,439.799,93556
2024-05-09,440.33,441.6,438.46,441.02,18410499.0,440.502,93076
2024-05-10,442.52,444.31,440.49,442.06,20272482.0,442.073,101585
2024-05-13,443.99,444.09,441.65,443.08,15011256.0,442.923,74288
2024-05-14,442.65,446.47,442.46,445.93,25547029.0,444.495,134483
2024-05-15,448.43,453.15,446.9,452.9,27354057.0,450.862,148446
2024-05-16,452.71,454.69,451.81,451.98,24337369.0,453.202,121339
2024-05-17,452.11,452.72,449.53,451.76,20899149.0,451.567,103663
2024-05-20,451.98,455.58,451.78,454.91,17633378.0,454.369,85907
2024-05-21,453.02,455.99,452.84,455.8,13821299.0,454.625,60471
2024-05-22,456.06,456.82,453.08,455.71,15539562.0,455.293,71296
2024-05-23,460.57,460.58,451.85,453.66,27364902.0,456.367,126645
2024-05-24,455.28,459.23,454.58,457.95,17531167.0,457.599,88421
2024-05-28,459.18,459.74,456.69,459.68,18640471.0,458.501,80148
2024-05-29,455.48,458.24,455.34,456.44,16435156.0,457.055,71978
2024-05-30,455.51,455.64,450.21,451.55,18954260.0,453.172,95749
2024-05-31,451.79,452.48,443.05,450.71,34307550.0,447.43,161371
2024-06-03,454.57,455.58,447.9,453.13,22868526.0,451.944,113188
2024-06-04,452.85,455.58,451.13,454.37,17066174.0,452.997,88340
2024-06-05,457.98,463.61,456.77,463.53,23270629.0,460.967,112126
2024-06-06,464.22,464.54,462.19,463.37,14732908.0,463.419,71391
2024-06-07,463.0,465.74,461.84,462.96,15005812.0,463.437,74619
2024-06-10,461.82,465.19,461.53,464.83,14411323.0,463.801,65530
2024-06-11,463.56,468.14,462.03,468.02,16201671.0,465.315,77600
2024-06-12,471.99,476.5,471.29,474.15,23310563.0,474.289,108261
2024-06-13,477.72,478.39,474.42,476.72,17564104.0,476.608,85499
2024-06-14,476.52,479.26,476.05,479.19,15339578.0,477.835,76746
2024-06-17,479.46,486.86,478.14,485.06,24063806.0,483.294,117621
2024-06-18,485.0,485.9,483.43,485.21,15849576.0,484.898,79367
2024-06-20,486.42,486.84,479.62,481.47,22781110.0,482.854,117241
2024-06-21,481.19,482.54,478.67,480.18,18886873.0,480.567,103339
2024-06-24,478.18,479.93,473.82,473.96,23260529.0,476.472,120437
2024-06-25,476.07,479.68,475.12,479.38,15994781.0,477.889,75439
2024-06-26,478.55,480.92,478.13,480.37,13742499.0,479.664,71518
2024-06-27,480.13,483.1,479.3,481.61,13863455.0,481.208,68950
2024-06-28,482.41,487.2,478.46,479.11,22754238.0,482.306,117368
2024-07-01,480.05,482.49,476.25,481.92,17079413.0,479.803,82268
2024-07-02,480.41,487.04,480.28,486.98,16260462.0,484.269,81845
2024-07-03,486.22,491.17,486.2,491.04,12799242.0,489.07,65857
2024-07-05,491.9,496.6,491.59,496.16,18725891.0,494.833,90916
2024-07-08,496.53,497.9,495.5,497.34,14417880.0,496.62,72342
2024-07-09,498.87,500.0,496.24,497.77,16459576.0,498.131,74147
2024-07-10,499.71,503.52,498.39,502.96,17980706.0,501.145,82581
2024-07-11,503.07,503.28,490.72,491.93,34485855.0,495.301,176930
2024-07-12,492.51,499.62,492.04,494.82,23907893.0,496.186,111542
2024-07-15,496.61,501.01,494.09,496.15,22275148.0,497.175,109463
2024-07-16,497.62,498.44,493.15,496.34,17334120.0,495.371,86787
2024-07-17,488.26,488.8,481.7,481.77,32882974.0,484.429,166508
2024-07-18,485.52,485.71,476.27,479.49,32504243.0,479.992,156423
2024-07-19,479.17,481.69,473.94,475.24,24596740.0,476.818,121637
2024-07-22,481.17,483.35,477.76,482.32,23494900.0,481.216,118348
2024-07-23,481.42,484.43,480.14,480.62,14975008.0,482.075,75620
2024-07-24,473.82,474.19,462.51,463.38,34133129.0,467.16,171098
2024-07-25,463.72,467.94,455.63,458.27,38776948.0,462.1,205380
2024-07-26,462.66,465.93,459.77,462.97,28587422.0,462.638,158671
2024-07-29,465.71,467.91,461.61,463.9,19881345.0,465.182,102395
2024-07-30,465.85,466.57,454.15,457.53,24322376.0,459.078,120978
2024-07-31,467.9,472.79,466.41,471.07,29661237.0,469.719,161386
2024-08-01,471.76,475.55,455.98,459.66,36176600.0,463.287,200541
2024-08-02,450.89,453.57,444.47,448.75,41684978.0,447.913,229562
2024-08-05,424.71,442.29,423.45,435.37,58448130.0,434.72,376562
2024-08-06,437.3,447.07,434.56,439.53,39218429.0,441.894,242329
2024-08-07,446.51,449.0,434.37,434.77,34513608.0,442.124,207498
2024-08-08,441.07,448.99,437.15,448.07,30545552.0,444.954,180963
2024-08-09,446.73,452.06,445.61,450.41,23005799.0,448.971,129569
2024-08-12,451.39,454.37,448.55,451.38,19529893.0,451.446,107343
2024-08-13,455.81,462.85,455.68,462.58,24109553.0,460.093,124069
2024-08-14,463.56,465.11,458.4,462.73,23539524.0,462.02,125465
2024-08-15,468.76,474.82,468.38,474.42,25745405.0,472.432,130361
2024-08-16,472.66,476.41,471.65,475.03,17257095.0,474.202,92716
2024-08-19,475.17,481.31,473.37,481.27,15015962.0,477.23,75698
2024-08-20,480.35,482.94,478.55,480.26,19339502.0,480.607,86770
2024-08-21,481.05,484.37,479.32,482.5,17735112.0,481.855,85835
2024-08-22,484.87,485.54,473.81,474.85,27399234.0,478.414,129412
2024-08-23,479.23,482.74,475.28,480.0,26312886.0,479.192,131714
2024-08-26,479.44,480.38,473.24,475.34,20462852.0,475.702,96017
2024-08-27,473.69,477.84,471.71,476.76,19920703.0,475.973,101094
2024-08-28,476.29,477.02,467.89,471.35,25468597.0,471.525,124417
2024-08-29,473.28,477.93,469.37,470.66,29495094.0,474.218,161449
2024-08-30,475.04,476.9,470.51,476.27,23234883.0,474.203,123042
2024-09-03,473.19,473.33,459.41,461.81,30985887.0,465.712,146049
2024-09-04,458.67,464.45,457.73,460.61,23315678.0,461.275,123832
2024-09-05,458.97,465.36,457.93,461.04,23765030.0,461.14,126604
2024-09-06,460.32,461.22,448.19,448.69,33703228.0,451.775,190899
2024-09-09,453.04,455.46,449.82,454.46,21910777.0,453.187,115916
2024-09-10,456.24,459.17,452.23,458.66,20416504.0,456.398,108813
2024-09-11,459.86,469.37,451.28,468.62,39121353.0,460.47,210847
2024-09-12,468.64,474.04,466.84,473.22,24855567.0,471.064,134442
2024-09-13,472.5,476.53,472.25,475.34,21397243.0,474.949,110184
2024-09-16,473.19,473.86,469.89,473.24,15541745.0,472.054,88820
2024-09-17,476.24,477.6,470.97,473.49,19336735.0,474.297,111892
2024-09-18,474.7,478.83,470.83,471.44,28682553.0,474.314,168023
2024-09-19,482.61,486.23,480.49,483.36,31999964.0,483.82,168554
2024-09-20,482.51,483.69,478.3,482.44,18483363.0,481.602,107722
2024-09-23,482.95,484.14,481.6,483.04,14688942.0,482.923,84925
2024-09-24,484.48,486.33,480.17,485.37,18548010.0,484.09,100837
2024-09-25,484.74,487.79,484.56,485.82,15682863.0,486.041,81285
2024-09-26,493.37,493.7,485.8,489.47,21014602.0,489.199,115463
2024-09-27,490.5,490.64,485.56,486.75,15179848.0,487.794,82109
2024-09-30,485.78,488.41,482.92,488.07,20132609.0,486.204,102896
2024-10-01,487.7,488.0,477.4,481.27,30606853.0,481.155,173699
2024-10-02,480.36,483.88,477.72,481.95,16279410.0,481.747,83762
2024-10-03,479.74,484.55,478.99,481.59,18205156.0,481.38,98233
2024-10-04,487.45,487.88,482.38,487.32,20439369.0,485.402,110568
2024-10-07,485.42,486.57,480.87,482.1,16526681.0,484.016,82631
2024-10-08,484.66,489.99,483.84,489.3,17810584.0,487.518,96729
2024-10-09,488.98,493.73,487.95,493.15,16140952.0,491.408,78540
2024-10-10,490.85,494.47,489.53,492.59,15043862.0,492.265,74774
2024-10-11,490.74,494.39,490.17,493.36,13774876.0,492.877,65330
2024-10-14,495.76,498.83,495.26,497.5,15528826.0,497.146,75162
2024-10-15,497.83,498.5,488.68,490.85,24681703.0,492.314,121700
2024-10-16,491.18,491.69,487.57,490.91,15050913.0,490.015,76178
2024-10-17,496.42,496.49,491.19,491.25,18954415.0,493.207,94889
2024-10-18,494.06,495.57,493.3,494.47,14422471.0,494.528,75807
2024-10-21,493.22,496.23,491.31,495.42,18950681.0,494.077,90841
2024-10-22,492.72,497.45,491.97,495.96,19289989.0,495.073,94820
2024-10-23,493.58,494.25,485.05,488.36,25204880.0,489.582,131027
2024-10-24,492.11,493.0,489.44,492.32,14302746.0,491.561,71608
2024-10-25,495.14,500.28,494.43,495.32,24545014.0,497.51,133495
2024-10-28,498.46,498.52,495.1,495.4,14403763.0,496.493,68263
2024-10-29,495.72,501.35,493.85,500.16,17975092.0,498.587,87755
2024-10-30,499.39,500.35,495.89,496.38,17480062.0,498.26,87604
2024-10-31,492.37,492.43,483.75,483.85,26360839.0,486.137,139376
2024-11-01,485.52,490.76,485.2,487.43,21276244.0,488.337,106700
2024-11-04,486.82,489.38,484.25,486.01,14811847.0,486.815,73455
